Folder dataImp created!
Folder monitor created!
Folder picture created!
Folder train_par created!
Using cpu device
---------------------------------
| rollout/           |          |
| time/                   |             |
|    fps                  | 56          |
|    iterations           | 5           |
|    time_elapsed         | 1109        |
|    total_timesteps      | 62500       |
| train/                  |             |
|    approx_kl            | 0.005596127 |
|    clip_fraction        | 0.0384      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.42       |
|    explained_variance   | 0.596       |
|    learning_rate        | 0.0005      |
|    loss                 | 3.31        |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00265    |
|    std                  | 1           |
|    value_loss           | 8.82        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -199         |
| time/                   |              |
|    fps                  | 56           |
|    iterations           | 6            |
|    time_elapsed         | 1331         |
|    total_timesteps      | 75000        |
| train/                  |              |
|    approx_kl            | 0.0036988314 |
|    clip_fraction        | 0.0173       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.624        |
|    learning_rate        | 0.0005       |
|    loss                 | 3.84         |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.000905    |
|    std                  | 1            |
|    value_loss           | 9.03         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -190         |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 7            |
|    time_elapsed         | 1582         |
|    total_timesteps      | 87500        |
| train/                  |              |
|    approx_kl            | 0.0019466629 |
|    clip_fraction        | 0.0145       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.42        |
|    explained_variance   | 0.553        |
|    learning_rate        | 0.0005       |
|    loss                 | 4.98         |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.000708    |
|    std                  | 0.996        |
|    value_loss           | 10.8         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -188        |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 8           |
|    time_elapsed         | 1812        |
|    total_timesteps      | 100000      |
| train/                  |             |
|    approx_kl            | 0.001811485 |
|    clip_fraction        | 0.013       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.528       |
|    learning_rate        | 0.0005      |
|    loss                 | 5.51        |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00102    |
|    std                  | 0.987       |
|    value_loss           | 12.9        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -187         |
| time/                   |              |
|    fps                  | 54           |
|    iterations           | 9            |
|    time_elapsed         | 2052         |
|    total_timesteps      | 112500       |
| train/                  |              |
|    approx_kl            | 0.0011577389 |
|    clip_fraction        | 0.0326       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.456        |
|    learning_rate        | 0.0005       |
|    loss                 | 6.11         |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00215     |
|    std                  | 0.964        |
|    value_loss           | 14.4         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -185        |
| time/                   |             |
|    fps                  | 54          |
|    iterations           | 10          |
|    time_elapsed         | 2301        |
|    total_timesteps      | 125000      |
| train/                  |             |
|    approx_kl            | 0.005796081 |
|    clip_fraction        | 0.0275      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | 0.513       |
|    learning_rate        | 0.0005      |
|    loss                 | 7.39        |
|    n_updates            | 90          |
|    policy_gradient_loss | -0.00171    |
|    std                  | 0.954       |
|    value_loss           | 15.3        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -187         |
| time/                   |              |
|    fps                  | 54           |
|    iterations           | 11           |
|    time_elapsed         | 2531         |
|    total_timesteps      | 137500       |
| train/                  |              |
|    approx_kl            | 0.0040376284 |
|    clip_fraction        | 0.0142       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.37        |
|    explained_variance   | 0.535        |
|    learning_rate        | 0.0005       |
|    loss                 | 6.35         |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.000955    |
|    std                  | 0.951        |
|    value_loss           | 16.3         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -181         |
| time/                   |              |
|    fps                  | 53           |
|    iterations           | 12           |
|    time_elapsed         | 2780         |
|    total_timesteps      | 150000       |
| train/                  |              |
|    approx_kl            | 0.0039558904 |
|    clip_fraction        | 0.0189       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.564        |
|    learning_rate        | 0.0005       |
|    loss                 | 7.59         |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00133     |
|    std                  | 0.945        |
|    value_loss           | 16.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -177         |
| time/                   |              |
|    fps                  | 53           |
|    iterations           | 13           |
|    time_elapsed         | 3014         |
|    total_timesteps      | 162500       |
| train/                  |              |
|    approx_kl            | 0.0037846155 |
|    clip_fraction        | 0.0101       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | 0.62         |
|    learning_rate        | 0.0005       |
|    loss                 | 9.12         |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00064     |
|    std                  | 0.939        |
|    value_loss           | 16.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -175         |
| time/                   |              |
|    fps                  | 53           |
|    iterations           | 14           |
|    time_elapsed         | 3255         |
|    total_timesteps      | 175000       |
| train/                  |              |
|    approx_kl            | 0.0024889663 |
|    clip_fraction        | 0.00314      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.35        |
|    explained_variance   | 0.602        |
|    learning_rate        | 0.0005       |
|    loss                 | 7.96         |
|    n_updates            | 130          |
|    policy_gradient_loss | -0.000182    |
|    std                  | 0.935        |
|    value_loss           | 17.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -170         |
| time/                   |              |
|    fps                  | 53           |
|    iterations           | 15           |
|    time_elapsed         | 3500         |
|    total_timesteps      | 187500       |
| train/                  |              |
|    approx_kl            | 0.0004165105 |
|    clip_fraction        | 0.0134       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.35        |
|    explained_variance   | 0.639        |
|    learning_rate        | 0.0005       |
|    loss                 | 9.04         |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00097     |
|    std                  | 0.927        |
|    value_loss           | 16.5         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -167        |
| time/                   |             |
|    fps                  | 53          |
|    iterations           | 16          |
|    time_elapsed         | 3741        |
|    total_timesteps      | 200000      |
| train/                  |             |
|    approx_kl            | 0.005807569 |
|    clip_fraction        | 0.0364      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.34       |
|    explained_variance   | 0.657       |
|    learning_rate        | 0.0005      |
|    loss                 | 7.44        |
|    n_updates            | 150         |
|    policy_gradient_loss | -0.00178    |
|    std                  | 0.924       |
|    value_loss           | 17.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -166        |
| time/                   |             |
|    fps                  | 53          |
|    iterations           | 17          |
|    time_elapsed         | 3986        |
|    total_timesteps      | 212500      |
| train/                  |             |
|    approx_kl            | 0.002005903 |
|    clip_fraction        | 0.0077      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.34       |
|    explained_variance   | 0.591       |
|    learning_rate        | 0.0005      |
|    loss                 | 10.2        |
|    n_updates            | 160         |
|    policy_gradient_loss | -0.000185   |
|    std                  | 0.921       |
|    value_loss           | 19.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -163        |
| time/                   |             |
|    fps                  | 53          |
|    iterations           | 18          |
|    time_elapsed         | 4219        |
|    total_timesteps      | 225000      |
| train/                  |             |
|    approx_kl            | 0.001830857 |
|    clip_fraction        | 0.00689     |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.33       |
|    explained_variance   | 0.547       |
|    learning_rate        | 0.0005      |
|    loss                 | 10.4        |
|    n_updates            | 170         |
|    policy_gradient_loss | -0.000439   |
|    std                  | 0.908       |
|    value_loss           | 20.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -163         |
| time/                   |              |
|    fps                  | 53           |
|    iterations           | 19           |
|    time_elapsed         | 4457         |
|    total_timesteps      | 237500       |
| train/                  |              |
|    approx_kl            | 0.0026592617 |
|    clip_fraction        | 0.0197       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | 0.506        |
|    learning_rate        | 0.0005       |
|    loss                 | 8.68         |
|    n_updates            | 180          |
|    policy_gradient_loss | -0.00115     |
|    std                  | 0.903        |
|    value_loss           | 18.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -162         |
| time/                   |              |
|    fps                  | 53           |
|    iterations           | 20           |
|    time_elapsed         | 4705         |
|    total_timesteps      | 250000       |
| train/                  |              |
|    approx_kl            | 0.0009989602 |
|    clip_fraction        | 0.0102       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | 0.492        |
|    learning_rate        | 0.0005       |
|    loss                 | 7.43         |
|    n_updates            | 190          |
|    policy_gradient_loss | -0.000529    |
|    std                  | 0.905        |
|    value_loss           | 18.2         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -161        |
| time/                   |             |
|    fps                  | 53          |
|    iterations           | 21          |
|    time_elapsed         | 4950        |
|    total_timesteps      | 262500      |
| train/                  |             |
|    approx_kl            | 0.002895898 |
|    clip_fraction        | 0.0164      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.32       |
|    explained_variance   | 0.489       |
|    learning_rate        | 0.0005      |
|    loss                 | 9.92        |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.0012     |
|    std                  | 0.911       |
|    value_loss           | 18.3        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -158         |
| time/                   |              |
|    fps                  | 52           |
|    iterations           | 22           |
|    time_elapsed         | 5191         |
|    total_timesteps      | 275000       |
| train/                  |              |
|    approx_kl            | 0.0028770692 |
|    clip_fraction        | 0.0159       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | 0.386        |
|    learning_rate        | 0.0005       |
|    loss                 | 8            |
|    n_updates            | 210          |
|    policy_gradient_loss | -0.000595    |
|    std                  | 0.903        |
|    value_loss           | 18.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -155         |
| time/                   |              |
|    fps                  | 52           |
|    iterations           | 23           |
|    time_elapsed         | 5430         |
|    total_timesteps      | 287500       |
| train/                  |              |
|    approx_kl            | 0.0034151678 |
|    clip_fraction        | 0.0186       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.32        |
|    explained_variance   | 0.378        |
|    learning_rate        | 0.0005       |
|    loss                 | 7.72         |
|    n_updates            | 220          |
|    policy_gradient_loss | -0.000557    |
|    std                  | 0.902        |
|    value_loss           | 16.8         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 499        |
|    ep_rew_mean          | -152       |
| time/                   |            |
|    fps                  | 52         |
|    iterations           | 24         |
|    time_elapsed         | 5666       |
|    total_timesteps      | 300000     |
| train/                  |            |
|    approx_kl            | 0.00182526 |
|    clip_fraction        | 0.00892    |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.31      |
|    explained_variance   | 0.37       |
|    learning_rate        | 0.0005     |
|    loss                 | 7.87       |
|    n_updates            | 230        |
|    policy_gradient_loss | -0.000411  |
|    std                  | 0.887      |
|    value_loss           | 16.2       |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -149         |
| time/                   |              |
|    fps                  | 52           |
|    iterations           | 25           |
|    time_elapsed         | 5917         |
|    total_timesteps      | 312500       |
| train/                  |              |
|    approx_kl            | 0.0036484164 |
|    clip_fraction        | 0.0374       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.29        |
|    explained_variance   | 0.385        |
|    learning_rate        | 0.0005       |
|    loss                 | 8            |
|    n_updates            | 240          |
|    policy_gradient_loss | -0.000792    |
|    std                  | 0.873        |
|    value_loss           | 15.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -147         |
| time/                   |              |
|    fps                  | 52           |
|    iterations           | 26           |
|    time_elapsed         | 6155         |
|    total_timesteps      | 325000       |
| train/                  |              |
|    approx_kl            | 0.0027881342 |
|    clip_fraction        | 0.0235       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.28        |
|    explained_variance   | 0.381        |
|    learning_rate        | 0.0005       |
|    loss                 | 7.99         |
|    n_updates            | 250          |
|    policy_gradient_loss | -2.39e-05    |
|    std                  | 0.865        |
|    value_loss           | 16.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -146         |
| time/                   |              |
|    fps                  | 52           |
|    iterations           | 27           |
|    time_elapsed         | 6390         |
|    total_timesteps      | 337500       |
| train/                  |              |
|    approx_kl            | 0.0033891709 |
|    clip_fraction        | 0.0154       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.27        |
|    explained_variance   | 0.378        |
|    learning_rate        | 0.0005       |
|    loss                 | 8.48         |
|    n_updates            | 260          |
|    policy_gradient_loss | -0.000485    |
|    std                  | 0.853        |
|    value_loss           | 15.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -146         |
| time/                   |              |
|    fps                  | 52           |
|    iterations           | 28           |
|    time_elapsed         | 6632         |
|    total_timesteps      | 350000       |
| train/                  |              |
|    approx_kl            | 0.0037610172 |
|    clip_fraction        | 0.0188       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.26        |
|    explained_variance   | 0.382        |
|    learning_rate        | 0.0005       |
|    loss                 | 7.25         |
|    n_updates            | 270          |
|    policy_gradient_loss | -0.000694    |
|    std                  | 0.852        |
|    value_loss           | 16           |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -146         |
| time/                   |              |
|    fps                  | 52           |
|    iterations           | 29           |
|    time_elapsed         | 6867         |
|    total_timesteps      | 362500       |
| train/                  |              |
|    approx_kl            | 0.0028072004 |
|    clip_fraction        | 0.033        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.26        |
|    explained_variance   | 0.388        |
|    learning_rate        | 0.0005       |
|    loss                 | 7.94         |
|    n_updates            | 280          |
|    policy_gradient_loss | -0.00114     |
|    std                  | 0.85         |
|    value_loss           | 15.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -145         |
| time/                   |              |
|    fps                  | 52           |
|    iterations           | 30           |
|    time_elapsed         | 7118         |
|    total_timesteps      | 375000       |
| train/                  |              |
|    approx_kl            | 0.0008648749 |
|    clip_fraction        | 0.0383       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.25        |
|    explained_variance   | 0.354        |
|    learning_rate        | 0.0005       |
|    loss                 | 7.37         |
|    n_updates            | 290          |
|    policy_gradient_loss | 0.000226     |
|    std                  | 0.846        |
|    value_loss           | 15.2         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -142         |
| time/                   |              |
|    fps                  | 52           |
|    iterations           | 31           |
|    time_elapsed         | 7331         |
|    total_timesteps      | 387500       |
| train/                  |              |
|    approx_kl            | 0.0011551562 |
|    clip_fraction        | 0.0126       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.24        |
|    explained_variance   | 0.37         |
|    learning_rate        | 0.0005       |
|    loss                 | 7.86         |
|    n_updates            | 300          |
|    policy_gradient_loss | 7.56e-05     |
|    std                  | 0.832        |
|    value_loss           | 15           |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -139         |
| time/                   |              |
|    fps                  | 53           |
|    iterations           | 32           |
|    time_elapsed         | 7533         |
|    total_timesteps      | 400000       |
| train/                  |              |
|    approx_kl            | 0.0019066259 |
|    clip_fraction        | 0.0133       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.23        |
|    explained_variance   | 0.388        |
|    learning_rate        | 0.0005       |
|    loss                 | 8.96         |
|    n_updates            | 310          |
|    policy_gradient_loss | 6.42e-05     |
|    std                  | 0.828        |
|    value_loss           | 14.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -137         |
| time/                   |              |
|    fps                  | 53           |
|    iterations           | 33           |
|    time_elapsed         | 7752         |
|    total_timesteps      | 412500       |
| train/                  |              |
|    approx_kl            | 0.0022647139 |
|    clip_fraction        | 0.0211       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.24        |
|    explained_variance   | 0.371        |
|    learning_rate        | 0.0005       |
|    loss                 | 8.18         |
|    n_updates            | 320          |
|    policy_gradient_loss | -0.000886    |
|    std                  | 0.832        |
|    value_loss           | 14.4         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -136         |
| time/                   |              |
|    fps                  | 53           |
|    iterations           | 34           |
|    time_elapsed         | 7952         |
|    total_timesteps      | 425000       |
| train/                  |              |
|    approx_kl            | 0.0021484424 |
|    clip_fraction        | 0.0109       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.23        |
|    explained_variance   | 0.422        |
|    learning_rate        | 0.0005       |
|    loss                 | 5.94         |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.000218    |
|    std                  | 0.824        |
|    value_loss           | 13.7         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -136         |
| time/                   |              |
|    fps                  | 53           |
|    iterations           | 35           |
|    time_elapsed         | 8169         |
|    total_timesteps      | 437500       |
| train/                  |              |
|    approx_kl            | 0.0035455332 |
|    clip_fraction        | 0.03         |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.22        |
|    explained_variance   | 0.42         |
|    learning_rate        | 0.0005       |
|    loss                 | 7.56         |
|    n_updates            | 340          |
|    policy_gradient_loss | -0.00158     |
|    std                  | 0.812        |
|    value_loss           | 14.9         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -135         |
| time/                   |              |
|    fps                  | 53           |
|    iterations           | 36           |
|    time_elapsed         | 8373         |
|    total_timesteps      | 450000       |
| train/                  |              |
|    approx_kl            | 0.0043088133 |
|    clip_fraction        | 0.0358       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.21        |
|    explained_variance   | 0.418        |
|    learning_rate        | 0.0005       |
|    loss                 | 7.13         |
|    n_updates            | 350          |
|    policy_gradient_loss | -0.00132     |
|    std                  | 0.808        |
|    value_loss           | 14.2         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -134        |
| time/                   |             |
|    fps                  | 53          |
|    iterations           | 37          |
|    time_elapsed         | 8575        |
|    total_timesteps      | 462500      |
| train/                  |             |
|    approx_kl            | 0.001835137 |
|    clip_fraction        | 0.0152      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.2        |
|    explained_variance   | 0.419       |
|    learning_rate        | 0.0005      |
|    loss                 | 7.74        |
|    n_updates            | 360         |
|    policy_gradient_loss | -0.000581   |
|    std                  | 0.798       |
|    value_loss           | 14.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -134        |
| time/                   |             |
|    fps                  | 54          |
|    iterations           | 38          |
|    time_elapsed         | 8778        |
|    total_timesteps      | 475000      |
| train/                  |             |
|    approx_kl            | 0.004205942 |
|    clip_fraction        | 0.0261      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.19       |
|    explained_variance   | 0.428       |
|    learning_rate        | 0.0005      |
|    loss                 | 7.82        |
|    n_updates            | 370         |
|    policy_gradient_loss | -0.00105    |
|    std                  | 0.794       |
|    value_loss           | 13.5        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -132         |
| time/                   |              |
|    fps                  | 54           |
|    iterations           | 39           |
|    time_elapsed         | 8985         |
|    total_timesteps      | 487500       |
| train/                  |              |
|    approx_kl            | 0.0037144397 |
|    clip_fraction        | 0.028        |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.18        |
|    explained_variance   | 0.413        |
|    learning_rate        | 0.0005       |
|    loss                 | 7.18         |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.00147     |
|    std                  | 0.784        |
|    value_loss           | 13.1         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -132         |
| time/                   |              |
|    fps                  | 54           |
|    iterations           | 40           |
|    time_elapsed         | 9173         |
|    total_timesteps      | 500000       |
| train/                  |              |
|    approx_kl            | 0.0033564668 |
|    clip_fraction        | 0.0427       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.17        |
|    explained_variance   | 0.409        |
|    learning_rate        | 0.0005       |
|    loss                 | 6.12         |
|    n_updates            | 390          |
|    policy_gradient_loss | 0.00018      |
|    std                  | 0.776        |
|    value_loss           | 13.5         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -130         |
| time/                   |              |
|    fps                  | 54           |
|    iterations           | 41           |
|    time_elapsed         | 9392         |
|    total_timesteps      | 512500       |
| train/                  |              |
|    approx_kl            | 0.0031214901 |
|    clip_fraction        | 0.0233       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.16        |
|    explained_variance   | 0.394        |
|    learning_rate        | 0.0005       |
|    loss                 | 6.18         |
|    n_updates            | 400          |
|    policy_gradient_loss | -0.00088     |
|    std                  | 0.768        |
|    value_loss           | 12.8         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -128        |
| time/                   |             |
|    fps                  | 54          |
|    iterations           | 42          |
|    time_elapsed         | 9584        |
|    total_timesteps      | 525000      |
| train/                  |             |
|    approx_kl            | 0.005669986 |
|    clip_fraction        | 0.0351      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.16       |
|    explained_variance   | 0.356       |
|    learning_rate        | 0.0005      |
|    loss                 | 6.75        |
|    n_updates            | 410         |
|    policy_gradient_loss | 0.000344    |
|    std                  | 0.772       |
|    value_loss           | 13.5        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -127         |
| time/                   |              |
|    fps                  | 54           |
|    iterations           | 43           |
|    time_elapsed         | 9789         |
|    total_timesteps      | 537500       |
| train/                  |              |
|    approx_kl            | 0.0014237377 |
|    clip_fraction        | 0.0213       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.16        |
|    explained_variance   | 0.414        |
|    learning_rate        | 0.0005       |
|    loss                 | 5.24         |
|    n_updates            | 420          |
|    policy_gradient_loss | 4.1e-05      |
|    std                  | 0.773        |
|    value_loss           | 12.2         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -124        |
| time/                   |             |
|    fps                  | 54          |
|    iterations           | 44          |
|    time_elapsed         | 10007       |
|    total_timesteps      | 550000      |
| train/                  |             |
|    approx_kl            | 0.002582074 |
|    clip_fraction        | 0.0256      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.16       |
|    explained_variance   | 0.412       |
|    learning_rate        | 0.0005      |
|    loss                 | 6.33        |
|    n_updates            | 430         |
|    policy_gradient_loss | 0.000546    |
|    std                  | 0.774       |
|    value_loss           | 12.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -124        |
| time/                   |             |
|    fps                  | 55          |
|    iterations           | 45          |
|    time_elapsed         | 10214       |
|    total_timesteps      | 562500      |
| train/                  |             |
|    approx_kl            | 0.005627603 |
|    clip_fraction        | 0.0428      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.16       |
|    explained_variance   | 0.395       |
|    learning_rate        | 0.0005      |
|    loss                 | 6.47        |
|    n_updates            | 440         |
|    policy_gradient_loss | 0.000598    |
|    std                  | 0.771       |
|    value_loss           | 12.1        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -125         |
| time/                   |              |
|    fps                  | 55           |
|    iterations           | 46           |
|    time_elapsed         | 10412        |
|    total_timesteps      | 575000       |
| train/                  |              |
