Folder dataImp created!
Folder monitor created!
Folder picture created!
Folder train_par created!
Using cpu device
---------------------------------
| rollout/           |          |
|    policy_gradient_loss | -3.65e-05     |
|    std                  | 0.99          |
|    value_loss           | 1.53e+03      |
-------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 499         |
|    ep_rew_mean          | -1.48e+03   |
| time/                   |             |
|    fps                  | 16          |
|    iterations           | 21          |
|    time_elapsed         | 16327       |
|    total_timesteps      | 262500      |
| train/                  |             |
|    approx_kl            | 0.000297249 |
|    clip_fraction        | 0.000184    |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.41       |
|    explained_variance   | 0.363       |
|    learning_rate        | 0.0001      |
|    loss                 | 806         |
|    n_updates            | 200         |
|    policy_gradient_loss | -0.000195   |
|    std                  | 0.99        |
|    value_loss           | 1.56e+03    |
-----------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.48e+03     |
| time/                   |               |
|    fps                  | 16            |
|    iterations           | 22            |
|    time_elapsed         | 17125         |
|    total_timesteps      | 275000        |
| train/                  |               |
|    approx_kl            | 0.00014795532 |
|    clip_fraction        | 6.4e-05       |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.348         |
|    learning_rate        | 0.0001        |
|    loss                 | 922           |
|    n_updates            | 210           |
|    policy_gradient_loss | -0.000149     |
|    std                  | 0.99          |
|    value_loss           | 1.63e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.47e+03     |
| time/                   |               |
|    fps                  | 16            |
|    iterations           | 23            |
|    time_elapsed         | 17921         |
|    total_timesteps      | 287500        |
| train/                  |               |
|    approx_kl            | 4.7712325e-05 |
|    clip_fraction        | 3.2e-05       |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.343         |
|    learning_rate        | 0.0001        |
|    loss                 | 816           |
|    n_updates            | 220           |
|    policy_gradient_loss | -0.00014      |
|    std                  | 0.991         |
|    value_loss           | 1.73e+03      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.48e+03    |
| time/                   |              |
|    fps                  | 16           |
|    iterations           | 24           |
|    time_elapsed         | 18718        |
|    total_timesteps      | 300000       |
| train/                  |              |
|    approx_kl            | 4.587275e-05 |
|    clip_fraction        | 1.6e-05      |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.293        |
|    learning_rate        | 0.0001       |
|    loss                 | 750          |
|    n_updates            | 230          |
|    policy_gradient_loss | -8.1e-05     |
|    std                  | 0.99         |
|    value_loss           | 1.67e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.47e+03    |
| time/                   |              |
|    fps                  | 16           |
|    iterations           | 25           |
|    time_elapsed         | 19515        |
|    total_timesteps      | 312500       |
| train/                  |              |
|    approx_kl            | 8.883933e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.333        |
|    learning_rate        | 0.0001       |
|    loss                 | 834          |
|    n_updates            | 240          |
|    policy_gradient_loss | -9.13e-05    |
|    std                  | 0.987        |
|    value_loss           | 1.68e+03     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.49e+03     |
| time/                   |               |
|    fps                  | 16            |
|    iterations           | 26            |
|    time_elapsed         | 20310         |
|    total_timesteps      | 325000        |
| train/                  |               |
|    approx_kl            | 0.00013303763 |
|    clip_fraction        | 4.8e-05       |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.284         |
|    learning_rate        | 0.0001        |
|    loss                 | 719           |
|    n_updates            | 250           |
|    policy_gradient_loss | -0.000181     |
|    std                  | 0.986         |
|    value_loss           | 1.7e+03       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.49e+03     |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 27            |
|    time_elapsed         | 21104         |
|    total_timesteps      | 337500        |
| train/                  |               |
|    approx_kl            | 7.2582116e-05 |
|    clip_fraction        | 6.4e-05       |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.326         |
|    learning_rate        | 0.0001        |
|    loss                 | 940           |
|    n_updates            | 260           |
|    policy_gradient_loss | -0.000121     |
|    std                  | 0.988         |
|    value_loss           | 1.79e+03      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.5e+03     |
| time/                   |              |
|    fps                  | 15           |
|    iterations           | 28           |
|    time_elapsed         | 21893        |
|    total_timesteps      | 350000       |
| train/                  |              |
|    approx_kl            | 8.820933e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.41        |
|    explained_variance   | 0.333        |
|    learning_rate        | 0.0001       |
|    loss                 | 961          |
|    n_updates            | 270          |
|    policy_gradient_loss | -7.29e-05    |
|    std                  | 0.987        |
|    value_loss           | 1.63e+03     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.51e+03     |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 29            |
|    time_elapsed         | 22683         |
|    total_timesteps      | 362500        |
| train/                  |               |
|    approx_kl            | 1.7579856e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.4          |
|    explained_variance   | 0.37          |
|    learning_rate        | 0.0001        |
|    loss                 | 839           |
|    n_updates            | 280           |
|    policy_gradient_loss | -4.66e-05     |
|    std                  | 0.984         |
|    value_loss           | 1.82e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.5e+03      |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 30            |
|    time_elapsed         | 23471         |
|    total_timesteps      | 375000        |
| train/                  |               |
|    approx_kl            | 5.8877464e-05 |
|    clip_fraction        | 2.4e-05       |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.4          |
|    explained_variance   | 0.412         |
|    learning_rate        | 0.0001        |
|    loss                 | 876           |
|    n_updates            | 290           |
|    policy_gradient_loss | -0.000173     |
|    std                  | 0.982         |
|    value_loss           | 1.72e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.5e+03      |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 31            |
|    time_elapsed         | 24267         |
|    total_timesteps      | 387500        |
| train/                  |               |
|    approx_kl            | 0.00011002643 |
|    clip_fraction        | 8e-06         |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.4          |
|    explained_variance   | 0.288         |
|    learning_rate        | 0.0001        |
|    loss                 | 839           |
|    n_updates            | 300           |
|    policy_gradient_loss | -0.000102     |
|    std                  | 0.978         |
|    value_loss           | 1.8e+03       |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.49e+03     |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 32            |
|    time_elapsed         | 25066         |
|    total_timesteps      | 400000        |
| train/                  |               |
|    approx_kl            | 5.7194535e-05 |
|    clip_fraction        | 8e-06         |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.4          |
|    explained_variance   | 0.341         |
|    learning_rate        | 0.0001        |
|    loss                 | 857           |
|    n_updates            | 310           |
|    policy_gradient_loss | -5.69e-05     |
|    std                  | 0.979         |
|    value_loss           | 1.74e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.48e+03     |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 33            |
|    time_elapsed         | 25875         |
|    total_timesteps      | 412500        |
| train/                  |               |
|    approx_kl            | 3.0017214e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.4          |
|    explained_variance   | 0.275         |
|    learning_rate        | 0.0001        |
|    loss                 | 787           |
|    n_updates            | 320           |
|    policy_gradient_loss | -5.44e-05     |
|    std                  | 0.982         |
|    value_loss           | 1.64e+03      |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.48e+03    |
| time/                   |              |
|    fps                  | 15           |
|    iterations           | 34           |
|    time_elapsed         | 26682        |
|    total_timesteps      | 425000       |
| train/                  |              |
|    approx_kl            | 0.0004943351 |
|    clip_fraction        | 0.000272     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.338        |
|    learning_rate        | 0.0001       |
|    loss                 | 929          |
|    n_updates            | 330          |
|    policy_gradient_loss | -0.000472    |
|    std                  | 0.986        |
|    value_loss           | 1.7e+03      |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.47e+03     |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 35            |
|    time_elapsed         | 27485         |
|    total_timesteps      | 437500        |
| train/                  |               |
|    approx_kl            | 5.8291344e-06 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.337         |
|    learning_rate        | 0.0001        |
|    loss                 | 861           |
|    n_updates            | 340           |
|    policy_gradient_loss | -1.17e-05     |
|    std                  | 0.987         |
|    value_loss           | 1.77e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.48e+03     |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 36            |
|    time_elapsed         | 28290         |
|    total_timesteps      | 450000        |
| train/                  |               |
|    approx_kl            | 1.3541574e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.339         |
|    learning_rate        | 0.0001        |
|    loss                 | 849           |
|    n_updates            | 350           |
|    policy_gradient_loss | -5.24e-05     |
|    std                  | 0.989         |
|    value_loss           | 1.75e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.48e+03     |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 37            |
|    time_elapsed         | 29096         |
|    total_timesteps      | 462500        |
| train/                  |               |
|    approx_kl            | 9.5008654e-05 |
|    clip_fraction        | 4.8e-05       |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.327         |
|    learning_rate        | 0.0001        |
|    loss                 | 852           |
|    n_updates            | 360           |
|    policy_gradient_loss | -0.000125     |
|    std                  | 0.988         |
|    value_loss           | 1.82e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.5e+03      |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 38            |
|    time_elapsed         | 29898         |
|    total_timesteps      | 475000        |
| train/                  |               |
|    approx_kl            | 0.00011901916 |
|    clip_fraction        | 8e-05         |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.41         |
|    explained_variance   | 0.291         |
|    learning_rate        | 0.0001        |
|    loss                 | 828           |
|    n_updates            | 370           |
|    policy_gradient_loss | -0.000146     |
|    std                  | 0.986         |
|    value_loss           | 1.7e+03       |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.51e+03    |
| time/                   |              |
|    fps                  | 15           |
|    iterations           | 39           |
|    time_elapsed         | 30699        |
|    total_timesteps      | 487500       |
| train/                  |              |
|    approx_kl            | 0.0003276745 |
|    clip_fraction        | 0.000352     |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.364        |
|    learning_rate        | 0.0001       |
|    loss                 | 834          |
|    n_updates            | 380          |
|    policy_gradient_loss | -0.000198    |
|    std                  | 0.984        |
|    value_loss           | 1.89e+03     |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 499          |
|    ep_rew_mean          | -1.51e+03    |
| time/                   |              |
|    fps                  | 15           |
|    iterations           | 40           |
|    time_elapsed         | 31499        |
|    total_timesteps      | 500000       |
| train/                  |              |
|    approx_kl            | 3.966002e-05 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.4         |
|    explained_variance   | 0.356        |
|    learning_rate        | 0.0001       |
|    loss                 | 905          |
|    n_updates            | 390          |
|    policy_gradient_loss | -4.35e-05    |
|    std                  | 0.985        |
|    value_loss           | 1.76e+03     |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.51e+03     |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 41            |
|    time_elapsed         | 32298         |
|    total_timesteps      | 512500        |
| train/                  |               |
|    approx_kl            | 1.3423368e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.4          |
|    explained_variance   | 0.356         |
|    learning_rate        | 0.0001        |
|    loss                 | 734           |
|    n_updates            | 400           |
|    policy_gradient_loss | -6.57e-05     |
|    std                  | 0.982         |
|    value_loss           | 1.77e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.48e+03     |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 42            |
|    time_elapsed         | 33096         |
|    total_timesteps      | 525000        |
| train/                  |               |
|    approx_kl            | 4.5537075e-05 |
|    clip_fraction        | 0.000112      |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.4          |
|    explained_variance   | 0.321         |
|    learning_rate        | 0.0001        |
|    loss                 | 821           |
|    n_updates            | 410           |
|    policy_gradient_loss | 5.97e-06      |
|    std                  | 0.982         |
|    value_loss           | 1.73e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.48e+03     |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 43            |
|    time_elapsed         | 33896         |
|    total_timesteps      | 537500        |
| train/                  |               |
|    approx_kl            | 1.5476116e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.4          |
|    explained_variance   | 0.328         |
|    learning_rate        | 0.0001        |
|    loss                 | 863           |
|    n_updates            | 420           |
|    policy_gradient_loss | -6.08e-05     |
|    std                  | 0.982         |
|    value_loss           | 1.78e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
|    ep_rew_mean          | -1.46e+03     |
| time/                   |               |
|    fps                  | 15            |
|    iterations           | 44            |
|    time_elapsed         | 34693         |
|    total_timesteps      | 550000        |
| train/                  |               |
|    approx_kl            | 5.6757515e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -1.4          |
|    explained_variance   | 0.353         |
|    learning_rate        | 0.0001        |
|    loss                 | 822           |
|    n_updates            | 430           |
|    policy_gradient_loss | -0.000112     |
|    std                  | 0.977         |
|    value_loss           | 1.74e+03      |
-------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 499           |
